dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
gist-960-euclidean,2000,2,7,1.0000000,153,332,35084,620,0.0260929,0.0425036,0.0338154,0.0000000,1.0263830,1.0250914340000001,0.2960000038146973,0.0667902231216431,0,0,0.0000000
gist-960-euclidean,2000,4,7,1.0000000,1677,1088,77468,3068,0.0148296,0.0455150,0.0353146,0.0000000,1.0301791,1.5338837410000001,0.4323000013828278,0.0418840646743774,0,0,0.0000000
gist-960-euclidean,2000,6,7,1.0000000,4305,1663,122555,6280,0.0104278,0.0470190,0.0338649,0.0000000,1.0325099,2.0564933610000002,0.5182999968528748,0.0309854745864868,0,0,0.0000000
gist-960-euclidean,2000,8,7,1.0000000,6415,2319,169532,10832,0.0080910,0.0481605,0.0334631,0.0000000,1.0341980,3.0326396480000004,0.5784999728202820,0.0246617794036865,0,0,0.0000000
gist-960-euclidean,2000,10,7,1.0000000,10849,2920,218151,16573,0.0066138,0.0490712,0.0334576,0.0000000,1.0359445,3.3973619590000004,0.6258999705314636,0.0201604366302490,0,0,0.0000000
gist-960-euclidean,2000,12,7,1.0000000,15062,3432,267512,22876,0.0056059,0.0497349,0.0330473,0.0000000,1.0372694,3.8108251490000002,0.6635999679565430,0.0173218250274658,0,0,0.0000000
gist-960-euclidean,2000,14,7,1.0000000,19373,3873,318582,30934,0.0048599,0.0502943,0.0332048,0.0000000,1.0385005,4.8873298560000000,0.6955999732017517,0.0151079893112183,0,0,0.0000000
gist-960-euclidean,2000,16,7,1.0000000,24161,4394,369959,38893,0.0042885,0.0507342,0.0330799,0.0000000,1.0394851,4.9439859840000002,0.7213000059127808,0.0133632421493530,0,0,0.0000000
gist-960-euclidean,2000,18,7,1.0000000,29316,4791,420330,46959,0.0038445,0.0510297,0.0328378,0.0000000,1.0402693,5.8951516870000003,0.7439000010490417,0.0119553804397583,0,0,0.0000000
gist-960-euclidean,2000,20,7,1.0000000,35288,5142,472499,55721,0.0034834,0.0514140,0.0328102,0.0000000,1.0411150,5.8701996770000004,0.7640999555587769,0.0108882188796997,0,0,0.0000000
gist-960-euclidean,2000,22,7,1.0000000,41580,5550,525828,65500,0.0031869,0.0518427,0.0328433,0.0000000,1.0419765,6.8761247100000000,0.7838999629020691,0.0098885297775269,0,0,0.0000000
gist-960-euclidean,2000,24,7,1.0000000,46648,5955,579328,75192,0.0029359,0.0521178,0.0328160,0.0000000,1.0425980,7.7484625110000005,0.8011999726295471,0.0085645914077759,0,0,0.0000000
gist-960-euclidean,2000,26,7,1.0000000,53008,6256,633780,86354,0.0027202,0.0524513,0.0329467,0.0000000,1.0433308,7.6131776210000002,0.8141999840736389,0.0078872442245483,0,0,0.0000000
gist-960-euclidean,2000,28,7,1.0000000,57538,6630,687436,97688,0.0025383,0.0527168,0.0329068,0.0000000,1.0438865,9.0298248870000002,0.8277999758720398,0.0072587728500366,0,0,0.0000000
gist-960-euclidean,2000,32,7,1.0000000,70223,7436,793958,120607,0.0022368,0.0531275,0.0327374,0.0000000,1.0449277,8.9534725360000014,0.8484999537467957,0.0059654712677002,0,0,0.0000000
gist-960-euclidean,2000,40,7,1.0000000,105059,8695,1012028,175399,0.0018121,0.0539412,0.0327911,0.0000000,1.0472968,10.5957187370000003,0.8828999996185303,0.0044962167739868,0,0,0.0000000
gist-960-euclidean,2000,48,7,1.0000000,150927,9866,1234875,236298,0.0015235,0.0547389,0.0329725,0.0000000,1.0495681,12.1567334760000012,0.9080999493598938,0.0034258365631104,0,0,0.0000000
gist-960-euclidean,2000,56,7,1.0000000,193017,10989,1454531,302952,0.0013161,0.0552274,0.0330048,0.0000000,1.0512613,14.2190308600000002,0.9250999689102173,0.0028406381607056,0,0,0.0000000
gist-960-euclidean,2000,64,7,1.0000000,245033,12037,1676311,377195,0.0011585,0.0557580,0.0330908,0.0000000,1.0530070,16.1074078240000027,0.9369999766349792,0.0023914575576782,0,0,0.0000000
gist-960-euclidean,2000,80,7,1.0000000,344242,13587,2124002,535133,0.0009367,0.0567028,0.0331025,0.0000000,1.0557483,22.2483325620000016,0.9544999599456787,0.0017186403274536,0,0,0.0000000
gist-960-euclidean,2000,96,7,1.0000000,459796,15015,2572083,704601,0.0007876,0.0574878,0.0331058,0.0000000,1.0581348,26.3719380310000027,0.9669999480247498,0.0010420083999634,0,0,0.0000000
gist-960-euclidean,2000,112,7,1.0000000,583380,16011,3022999,877878,0.0006801,0.0581969,0.0330679,0.0000000,1.0601203,30.4713594580000020,0.9749999642372131,0.0007559061050415,0,0,0.0000000
gist-960-euclidean,2000,128,7,1.0000000,726144,16981,3479085,1057863,0.0005984,0.0588729,0.0330620,0.0000000,1.0619971,34.4606900550000006,0.9796999692916870,0.0006047487258911,0,0,0.0000000
gist-960-euclidean,2000,144,7,1.0000000,870115,17790,3935597,1244688,0.0005351,0.0595315,0.0330993,0.0000000,1.0636612,35.5887591290000032,0.9837999939918518,0.0005005598068237,0,0,0.0000000
gist-960-euclidean,2000,160,7,1.0000000,1039249,18661,4393797,1435248,0.0004840,0.0601297,0.0331394,0.0000000,1.0653082,38.7211003100000042,0.9869999885559082,0.0004113912582397,0,0,0.0000000
gist-960-euclidean,2000,192,7,1.0000000,1435312,20152,5305849,1823786,0.0004077,0.0612338,0.0333220,0.0000000,1.0685087,45.6367627040000059,0.9914000034332275,0.0002745389938354,0,0,0.0000000
gist-960-euclidean,2000,224,7,1.0000000,1833879,21414,6214755,2207048,0.0003528,0.0621293,0.0334912,0.0000000,1.0709314,54.8594672830000007,0.9942999482154846,0.0001896619796753,0,0,0.0000000
gist-960-euclidean,2000,256,7,1.0000000,2274085,22640,7115007,2584448,0.0003115,0.0628475,0.0336658,0.0000000,1.0730840,61.4200525950000014,0.9960999488830566,0.0001517534255981,0,0,0.0000000
gist-960-euclidean,2000,512,7,1.0000000,7641305,30472,14253274,5436143,0.0001652,0.0679396,0.0353903,0.0000000,1.0883290,114.7525577150000089,0.9993000030517578,0.0000000000000000,0,0,0.0000000
